Title|Authors|Abstract|PDF
Основные тенденции и проблемы аудиторских услуг в России как инструмента экономической безопасности|Баденова Л. А.; Крехова Ю. А.; Марганова Л. Р.|В рамках настоящего исследования рассматриваются и оцениваются ключевые тенденции и проблемы в сфере аудиторских услуг в современной России. Главным образом в статье раскрывается тема перехода на международные стандарты аудита, рассматриваются ключевые актуальные вопросы в плане ответственности аудируемых лиц, вопросы усиления государственного регулирования и контроля в сфере аудита, а также реальный потенциал расширения возможностей в сфере аудита в России на нормативно-правовом уровне. Кроме того, в рамках статьи раскрываются основные направления развития сферы аудиторских услуг в России, а также затрагиваются вопросы относительно повышения качества аудиторских услуг на соответствующем отечественном рынке услуг. Цель исследования заключается в выявлении наиболее важных тенденций и проблем в сфере аудиторских услуг в России и в поиске наиболее оптимальных путей решения выявленных проблем.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34690/1/ebs_2024_534_546.pdf
Определение места DeFi в развитии финансовых инструментов|Разумовская Е. А.; Шепелева Е. О.|В статье рассматриваются новые инструменты финансового рынка – децентрализованные финансы, являющиеся одной из тенденций последних лет. Определение перспектив данной технологии происходит через согласование экономических и информационных структур, представленных особой экосистемой, включающей в себя такие элементы или инструменты как блокчейн, смарт-контракты и криптовалюта. Исследуются преимущества и недостатки DeFi-сервисов, а также характеризуются этапы перехода от централизованной общепринятой системы к современной децентрализованной модели с целью роста благосостояния населения через такие ее свойства как доступность, защищенность и универсальность.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34666/1/ebs_2024_312_317.pdf
Торговля с Китаем: финансовые инструменты для снижения валютных рисков|Серебренникова А. И.; Аросланкина И. А.|Статья посвящена вопросам снижения валютных рисков при проведении внешнеторговых операций. Подчеркивается повышенный уровень валютных рисков при торговле с Китайской Народной Республикой. Особое внимание уделяется анализу стандартных производных финансовых инструментов, применяемых для хеджирования валютных рисков. Авторы статьи выделяют основные преимущества и недостатки каждого из представленных финансовых инструментов, а именно форвардных контрактов, валютных фьючерсов, валютных опционов и валютных свопов. Кроме того, предлагается использование дополнительных мероприятий, направленных на оптимизацию валютных рисков.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34667/1/ebs_2024_318_322.pdf
Оценка экономической безопасности торговой организации: этапы, методы, особенности индикаторного подхода|Токмакова Е. Г.; Киева Е. В.|В статье выделены этапы оценки экономической безопасности торговой организации, перечислены с краткой характеристикой методы ее оценки. Представлены аргументы обоснования как наиболее эффективного индикаторного подхода к оценке экономической безопасности. Рекомендовано использовать при индикаторном подходе к оценке экономической безопасности по ее составляющим, определяемым особенностями торговой деятельности: технико-технологической, логистической и маркетинговой в качестве индикаторов темпы роста показателей, характеризующих указанные элементы экономической безопасности.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34688/1/ebs_2024_520_525.pdf
Бухгалтерские риски, рассмотренные через призму экономической безопасности|Токмакова Е. Г.; Белова П. В.; Мухаметшина В. Д.|В статье рассмотрены бухгалтерские риски через призму экономической безопасности предприятия, дано авторское определение данной категории. Также рассмотрены виды бухгалтерских рисков, построена схема соотношения бухгалтерских рисков и их последствий в системе экономической безопасности бизнеса. Рассмотрены конкретные примеры бухгалтерских рисков и их последствия для экономической безопасности бизнеса.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34696/1/ebs_2024_586_592.pdf
Незаконное изготовление и оборот оружия, боеприпасов, взрывчатых веществ и взрывных устройств в современных условиях: криминологические и уголовно-правовые аспекты|Шатилович С. Н.|В статье анализируются статистические данные о количестве преступлений в сфере незаконного изготовления и оборота оружия, боеприпасов, взрывчатых веществ, взрывных устройств, а также новеллы российского уголовного законодательства в данной сфере. Сделан вывод, согласно которому к незаконному изготовлению и обороту указанных предметов следует относить не только составы преступлений, предусмотренные ст. 222–226.1 Уголовного кодекса Российской Федерации, но и составы преступлений, предусмотренные ст. 348–349, 355 УК РФ (незаконный оборот военного имущества (оружие, боеприпасы) и оружия массового поражения). Дана общая характеристика новых положений уголовно-правовых норм в данной сфере в свете реформирования уголовного законодательства. Сделан вывод о необходимости приведения в соответствие Постановление Пленума Верховного Суда Российской Федерации от 12 марта 2002 г. № 5 с новой редакцией ст. 222–223.1 УК РФ. Рассмотрены вопросы, возникшие в связи с закреплением в п. 2 примечания к ст. 222.2 УК РФ законодательного определения понятия крупнокалиберного огнестрельного оружия. Сделан вывод о необходимости межгосударственного взаимодействия и координации усилий в рамках международного сообщества в противодействии транснациональной организованной преступности в сфере незаконного изготовления и оборота оружия, боеприпасов, взрывчатых веществ и взрывных устройств, а также продукции военного и двойного назначения, и, прежде всего, государств – участников Содружества Независимых Государств.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34763/1/nzktsiiovun_2024_107_117.pdf
Новеллы уголовного законодательства и их отражение в сознании общества|Шестакова Н. В.|Данная статья посвящена вопросу отражения новелл уголовного закона в общественном сознании. Указанная тема была актуальной во все времена, ею занимались такие видные деятели, как Б. Спиноза, Г. Спенсер, В. С. Соловьев, Б. Н. Чичерин, не утратила она интерес и в наши дни. Накопленный исторический и правовой опыт позволяет рассмотреть исследуемый предмет через другие углы зрения. Ключевым моментом является то, что, как правило, потребность принятия уголовно-правовой нормы рождается в самом обществе, следовательно, в каком-то смысле ему имманентна данная норма, что не должно вызывать трудностей при адаптации к ней, при осознании заложенной в ней природы общественной опасности деяния. В статье помимо общелогических методов используются сравнительный и исторический аспекты. Работа основана на религиозной концепции понимания мира. Выдвинута идея о преимуществе религии по сравнению с нравственностью как регулятивной базой. Религия определяется как эффективный инструмент, гармонизирующий общественные отношения, способствующий укреплению общественного порядка. Что позволяет задуматься о том, каким принципам и основам должно соответствовать уголовное законодательство.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34764/1/nzktsiiovun_2024_118_126.pdf
О квалификации некоторых экономических преступлений, совершенных до вступления в силу Федерального закона от 06.04.2024 № 79-ФЗ|Быкова Е. Г.|Статья посвящена вопросам квалификации экономических преступлений с учетом обратной силы уголовного закона. На примере норм главы 22 УК РФ раскрыты особенности оценки деяний, совершенных до вступления в силу Федерального закона от 06.04.2024 № 79-ФЗ. Если незаконная предпринимательская деятельность сопряжена с извлечением дохода в крупном и особо крупном размере, в содеянном с учетом новой редакции ст. 171 УК РФ отсутствует состав преступления ввиду исключения признаков. Если с учетом новой редакции примечания к статье главы 22 УК РФ сумма не образует крупного размера и этот признак составообразующий, в содеянном отсутствует состав преступления. Если до внесения изменений в примечание к статье главы 22 УК РФ содеянное оценивалось с учетом признака «в особо крупном размере», а в новой его редакции соответствующая сумма относится к крупному размеру, только последний учитывается при квалификации. Если сумма превышает крупный или особо крупный размер, предусмотренный новой нормой, то редакция уголовного закона учитывается при квалификации, но не влияет на нее.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34768/1/nzktsiiovun_2024_44_52.pdf
Превентивная криминализация – тренд современной уголовно-правовой политики|Чуклина Э. Ю.|В статье описаны особенности текущей криминализационной политики развитых стран, в частности США, Великобритании и России. Отмечается, что террористический акт 11 сентября 2001 г. стал отправной точкой установления уголовной ответственности за подготовительные и вспомогательные действия в целях эффективного противодействия терроризму. В дальнейшем криминализация, обусловленная стремлением законодателя обеспечить национальную безопасность, расширялась и в отношении других сфер общественной жизни, что вызвало критику криминологов. Например, негативная ситуация со смертностью в дорожно-транспортных происшествиях побудила криминализировать в ряде стран пьяное и опасное вождение. В российской доктрине обсуждается избыточная криминализация и рост числа уголовно-правовых норм с двойной превенцией, подчеркивается необходимость поиска баланса между национальными интересами, правами и свободами человека.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34761/1/nzktsiiovun_2024_82_91.pdf
Особенности участия специалиста-взрывотехника при осмотре места происшествия по заведомо ложному сообщению об акте терроризма|Брусницын В. И.|Основной задачей Российского государства в настоящее время является построение действенной системы противодействия противоправным посягательствам и, в частности, предусмотренным ст. 207 УК РФ. Решение данной задачи является одним из актуальных направлений в условиях проведения специальной военной операции, когда деструктивные элементы пытаются различными методами и способами дестабилизировать обстановку в государстве путем дезорганизации деятельности органов государственного аппарата, в том числе различных правоохранительных органов, а также обращения в панику гражданского населения. В статье автором представлены отдельные особенности участия специалиста-взрывотехника при осмотре места происшествия по заведомо ложному сообщению об акте терроризма, а также основные направления совершенствования данной деятельности, с целью установления лиц, причастных к их совершению, как эффективном методе противодействия указанным противоправным посягательствам.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34767/1/nzktsiiovun_2024_37_43.pdf
Уголовно-правовая «стоимость» обстоятельств, смягчающих и отягчающих наказание|Сумачев А. В.|В статье рассматриваются общие начала назначения уголовного наказания. Делается вывод о том, что законодательное отражение общих начал назначения наказания не только содержательно, но и структурно, в Уголовном кодексе Российской Федерации достаточно обоснованы. Далее определяются правила учета смягчающих и отягчающих обстоятельств и конкретно-прикладное влияние их на индивидуализацию наказания – определение конкретного вида, срока или размера наказания. Отмечается, что разумная формализация законов в части назначения наказания явление полезное и даже необходимое. Основываясь на положениях ст. 62 УК РФ предложен вариант определения уголовно-правовой «стоимости» (значимости) отдельно взятого (смягчающего или отягчающего) обстоятельства. В целях единообразия судебной практики предлагается фиксированную степень уголовно-правовой значимости смягчающего или отягчающего наказание обстоятельства «оценивать» в пределах от 1/3 до 1/6 от максимальной меры наказания по санкции Особенной части УК РФ.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34772/1/nzktsiiovun_2024_75_81.pdf
Спорные проблемы теории и практики соучастия в преступлении|Ахатова А. М.|Существующие на сегодня нормы, регламентирующие институт соучастия, претерпевают изменение вследствие меняющейся судебной практики и появления преступлений, связанных с использованием информационно-телекоммуникационной сети (далее – ИТС). В статье поднимается проблема о нерешенности вопроса о возможности соучастия с негодным субъектом. Была проанализирована судебная практика по исследуемой теме. Сделан вывод о том, что участие малолетнего или невменяемого усиливает общественную опасность посягательства, увеличивает шанс довести преступление до конца. Поэтому квалификация лица, совершившего преступление совместно с негодным субъектом с использованием ИТС не должна зависеть от того, знал ли виновный о фактическом возрасте своего соучастника или нет. Ввиду повышенной степени опасности данных преступлений, совершаемых совместно с негодным субъектом, высказывается мнение о необходимости законодательного изменения понятия соучастия.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34765/1/nzktsiiovun_2024_18_23.pdf
Развитие цифрового документооборота в уголовном судопроизводстве|Минулин Р. М.|В настоящее время основным трендом является всестороннее внедрение в уголовное судопроизводство цифровых технологий. К ним относится внедрение видео-конференц-связи, в том числе с 2021 г. на предварительном расследовании. Набирает обороты внедрение электронного документооборота – совсем недавно, в декабре 2023 г. введен цифровой документооборот на предварительном расследовании, в том числе копии обвинительного заключения и обвинительного акта теперь можно вручать в электронном виде. В научных дискуссиях широко обсуждаются вопросы электронных доказательств, электронного документооборота между властными участниками уголовного процесса, внедрение искусственного интеллекта, в перспективе переход на электронное уголовное дело и «цифровой УПК». В данном исследовании анализируется развитие и перспективы цифрового документооборота в уголовном судопроизводстве.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34770/1/nzktsiiovun_2024_59_67.pdf
Применение смертной казни – нужно ли менять конституцию?|Морозов В. И.; Лосев С. Г.|Весной 2024 г. в связи с террористическим актом в развлекательном центре «Крокус-сити» в России обострились споры о возвращении применения смертной казни в качестве наказания. Противники данного вида уголовного наказания утверждают, что для реализации данного наказания необходимо внести изменения в текст Конституции России. Однако, как представляется, основными препятствиями в процессе назначения и исполнения являются решения Конституционного Суда Российской Федерации, который принял на себя ответственность за реализацию государственной политики по постепенной отмене смертной казни в правовой системе России. В статье обосновывается предложение по совершенствованию уголовного законодательства, предусматривающего ответственность за терроризм, которые, как представляется, могут позволить применять смертную казнь, без изменения статей Конституции.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34771/1/nzktsiiovun_2024_68_74.pdf
Использование моделей искусственного интеллекта при выявлении когнитивных процессов языковой обработки в рамках теории глоссематики|Шлычкова Е. О.; Лыкова Н. Н.|Данная работа посвящена анализу электрической активности головного мозга человека, лежащей в основе обработки языковой информации. С помощью методов машинного обучения, а также генетического метода выявляются области мозга, задействованные при обработке изменений французских слов. Путем сопоставления полученных схем активности определяются закономерности в процессах обработки словесных изменений.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34808/1/miim_2024_164_171.pdf
Организация безопасной миграции контроллера домена компьютерной сети предприятия средствами отечественного программного обеспечения|Охохонин А. М.; Шабалин А. М.|В данной статье проанализированы отечественные программные решения для управления службой каталога и рассмотрены угрозы информационной безопасности, которые могут возникнуть во время миграции контроллера домена организации. Результатом исследования стал алгоритм безопасной миграции контроллера домена в компьютерной сети компании.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34832/1/miim_2024_326_330.pdf
Исследование применимости методов и алгоритмов для краткого аннотирования аудиоконтента с извлечением текста|Уральский Д. П.; Гончар А. А.; Аврискин М. В.|В статье рассматриваются подходы в аннотировании аудиоконтента и проводится оценка методов транскрибации и суммаризации, используемых для подхода аннотирования с извлечением текста. Рассматриваются Whisper, NeMo, mT5, mBart, а также TF-IDF, LSA, TextRank и LexRank.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34795/1/miim_2024_87_91.pdf
Пропедевтика стереометрии в основной школе: возможность или необходимость?|Говдырь Д. А.; Шармин Д. В.|В данной статье рассматриваются проблемы взаимосвязи разделов планиметрии и стереометрии в школьном курсе геометрии. Авторы статьи приводят примеры изменений в обновленных версиях учебников математики и геометрии. В качестве решения проблем предлагается проводить пропедевтику изучения объемных фигур, а сам изучаемый материал оформлять в виде рабочей тетради.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34843/1/miim_2024_453_458.pdf
Мобильное приложение для обработки содержимого документов|Шульгин Д. А.; Чернышева Т. Ю.|Данная работа предполагает рассмотрение мобильного приложения, цель которого – повышение эффективности при работе с документами. Приложение включает в себя множество функций, такие как: сканирование и инструменты для редактирования, конвертация документов в различные форматы, замена ключевых слов в документах.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34817/1/miim_2024_221_223.pdf
Педагогика удивления на уроках математики|Кирамова Р. Р.; Вершинина С. В.|В данной статье исследуются основные способы внедрения педагогики удивления в процесс обучения математике в школе. В данном ключе рассматривается: удивление образовательной средой, удивление фактом, удивление методом, удивление обучающихся собственным потенциалом.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34847/1/miim_2024_476_479.pdf
Некоторые свойства сочетаний без повторений и их доказательство|Камшилов Н. П.; Павлова Т. В.|В статье рассматривается проблема различных интерпретаций начальных понятий комбинаторики. Представлены разные методы доказательств некоторых свойств сочетаний без повторений. Рассмотрено построение треугольника Паскаля на основе доказанных свойств.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34840/1/miim_2024_437_442.pdf
Средства развития математического мышления у учащихся 5–6 классов|Самедова С. Г.; Вершинина С. В.|В работе рассматривается понятие математического мышления, его ключевые особенности, исследуются средства для развития математического мышления у учащихся 5-6 классов.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34844/1/miim_2024_465_469.pdf
Remote Service Session Hijacking T1563 – перехват сеанса удаленного обслуживания|Пермякова К. С.; Бегичева С. В.|В данной статье приведено понятие сеанса удаленного обслуживания. Рассмотрен процесс перехвата сеанса удаленного обслуживания. Приведены последствия перехвата сеанса удаленного обслуживания. Рассмотрены способы предотвращения перехвата сеанса удаленного обслуживания.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34826/1/miim_2024_294_296.pdf
Технологии проблемного обучения на уроках математики в седьмом классе при изучении темы «треугольники»|Милютина Т. П.; Вершинина С. В.|Статья посвящена вопросу изучения школьниками темы «треугольники» в седьмом классе. В данной работе рассматривается актуальность обращения к данной проблеме, и предложены методы обучения семиклассников, основанные на технологии проблемного обучения.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34849/1/miim_2024_488_493.pdf
Подход к определению информационной плотности образовательного курса на основе терминологии предметной области|Бородина В. А.; Коровин С. А.; Воробьева М. С.; Аврискин М. В.|В статье рассмотрен комбинированный подход к определению информационной плотности лекционных материалов образовательных курсов. Предложены и апробированы метрики информационной плотности, демонстрирующие распределение материала по курсу. Описаны и протестированы алгоритмы для выделения содержательных частей материалов курса.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34797/1/miim_2024_105_112.pdf
Распределение супремума траектории процесса Пуассона с отрицательным линейным сносом|Протасов В. В.; Мосягин В. Е.|В работе проведено исследование процесса Пуассона с отрицательным линейным сносом, изучены свойства функции распределения супремума траектории процесса и найдены моменты этого супремума.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34854/1/miim_2024_51_55.pdf
Проектирование мобильного приложения для мониторинга состояния пользователя|Чехляев С. А.; Семененко А. В.; Чернышева Т. Ю.; Бакановская Л. Н.|В данной статье рассматривается процесс проектирования мобильного приложения для вызова скорой помощи и мониторинга состояния пользователя. Описывается функционал приложения, включающий возможность вызова скорой медицинской помощи, отслеживание местоположения пациента, голосовой ввод данных о состоянии, виртуальный помощник и систему оповещения выбранных контактов. В ходе проектирования разработана диаграмма прецедентов, диаграмма развертывания, логическая модель базы данных и макет интерфейса.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34814/1/miim_2024_203_207.pdf
Деятельностный подход в обучении математике: «Теорема Пифагора»|Аронов Д. Е.|В данной статье рассматривается использование деятельностного подхода в образовательной практике в процессе решения разных заданий, связанных с теоремой Пифагора. В статье приводится описание приемов и методов, применение которых педагогами на уроках геометрии будет эффективным. Цель статьи – не только подчеркнуть значимость деятельностного подхода в процессе обучения математике, на примере темы «Теорема Пифагора», но и помочь педагогам использовать деятельностный подход в образовательном процессе с максимальной эффективностью.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34838/1/miim_2024_415_419.pdf
Разработка web-приложения для организации научно-образовательных мероприятий|Гындыбин М. В.; Дудин И. А.; Гаджиибрагимов А. Г.; Бакановская Л. Н.; Чернышева Т. Ю.|В статье представлен анализ проблем организации мероприятий. Предложен вариант решения проблемы – разработка веб-приложения для организации уникальных мероприятий. Приведены схема архитектуры программного приложения и фрагмент интерфейса.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34819/1/miim_2024_238_241.pdf
Пропедевтика изучения геометрии 7–8 классов с помощью техники оригами|Рямова М. И.; Никитина А. А.|В работе рассматривается возможность и особенность использование техники оригами в качестве пропедевтики базовых понятий геометрии 7–8 классов, а также представлена примерная рабочая программа предполагаемого учебного курса.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34851/1/miim_2024_501_505.pdf
Пример реализации метода поиска изображений по тексту с помощью нейронной сети|Верховский Е. В.; Зорин Г. А.; Чернышева Т. Ю.|В данной работе описывается реализация модели поиска изображений по тексту на естественном языке с помощью метода «Dual Encoder» на русском языке. Приведено исследование качества получившейся модели.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34800/1/miim_2024_129_132.pdf
Алгоритм решения обратной задачи для уравнений сложного теплообмена|Гренкин Г. В.|Рассматривается задача нахождения неизвестных интенсивностей источников тепла по известным средним значениям средней температуры источников. Для моделирования теплообмена используется стационарная диффузионная модель, учитывающая перенос теплового излучения. Для случая двух источников показана сходимость численного метода.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34855/1/miim_2024_59_60.pdf
Разработка и исследование классификатора вопросов чат-боту в игре для абитуриентов|Кочеткова К. В.; Мансурова И. Р.; Захарова И. Г.|В работе рассматривается реализация классификаторов вопросов чат-боту в игре для абитуриентов для решения проблемы низкой вовлеченности игроков. На потенциальных вопросах, размеченных ответами, была обучена глубокая нейронная сеть. С помощью предобработки и аугментации данных удалось достичь точности классификации, равной 92%. Полученные классификаторы могут работать с короткими вопросами в рамках контекста диалога.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34794/1/miim_2024_81_86.pdf
Проектирование базы данных для создания системы «Цифровой двойник пациента»|Кравец В. Д.; Секисова К. К.; Насибуллин А. И.; Бурчинский В. А.; Бахмут Е. Д.; Бакановская Л. Н.; Чернышева Т. Ю.|В работе представлены этапы проектирования базы данных для проекта «Телереанимация», направленного на информатизацию отделения реанимации и интенсивной терапии. Описаны основные шаги при проектировании реляционной базы данных.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34816/1/miim_2024_216_220.pdf
Расширение функциональных возможностей службы каталогов Ald Pro для обеспечения безопасной работы пользователей с файловыми системами|Искаков Д. А.; Шабалин А. М.|В работе были выявлены особенности использования отечественного программного обеспечения ALD Pro для управления доменной сетью на примере реальных случаев внедрения данного программного обеспечения, что позволило определить актуальные запросы пользователей. Кроме того был проанализирован продукт Microsoft Windows Server на предмет реализации мер за-щиты компьютерной сети, в результате чего были разработаны скрипты групповых политик и методология их применения.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/34831/1/miim_2024_322_325.pdf
