Title|Authors|Abstract|PDF
Организация ранней профилактики буллинга в общеобразовательной школе посредством методики коллективных творческих дел|Белякова Е. Г.; Гаспарова О. Г.|Цель исследования – теоретическое обоснование, моделирование и опытно-экспериментальная проверка условий организации профилактики буллинга в общеобразовательной школе посредством методики коллективно-творческих дел.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/6573/1/GasparovaOG_2022.pdf
Теория и практика расследования хищений, совершенных должностными лицами|Смахтин Е. В.; Шамкин С. В.|Целью исследования является изучение правовых, теоретических и практических проблем, возникающих при расследовании хищений, связанных с использованием служебных полномочий.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22433/1/ShamkinSV_2022.pdf
Теоретико-правовые проблемы и практические аспекты заключения мирового соглашения в рамках дел о несостоятельности (банкротстве)|Холодионова Ю. В.; Храмцов М. Е.|Исследование практических и теоретических проблемных аспектов института мирового соглашения в делах о банкротстве.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22562/1/KhramtsovME_2022.pdf
Деятельность антимонопольных органов по противодействию недобросовестной конкуренции в Российской Федерации|Хвощин А. А.; Иванов А. М.|Цель магистерской диссертации – осуществление всестороннего анализа процесса и организации работы антимонопольных органов Российской Федерации в области противодействия недобросовестной конкуренции.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22397/1/IvanovAM_2022.pdf
"Разработка сервиса автоматической обработки обращений на горячую линию МКУ ""Тюменьгортранс"""|Плотоненко Ю. А.; Леонов Н. А.|Цель работы – разработать систему для автоматической обработки и классификации по категориям поступающих обращений на горячую линию МКУ «Тюменьгортранс».|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19228/1/LeonovNA_2022.pdf
Правовое положение арбитражного управляющего|Отческий И. Е.; Баглык А. Е.|Цель исследования: анализ правовых норм, формирующих правовой статус арбитражного управляющего.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19210/1/BaglykAE_2022.pdf
Проблемы возбуждения и рассмотрения уголовных дел частного обвинения|Сидорова Н. В.; Субботина Ю. И.|Цель работы – выявление актуальных проблем уголовного судопроизводства по делам частного обвинения и выработка действенных и эффективных путей решения проблем законодательного регулирования института частного обвинения, возникающих на практике.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22427/1/SubbotinaYuI_2022.pdf
Категория риска в гражданском праве Российской Федерации|Романчук С. В.; Штейникова А. К.|Цель работы заключается в концептуальном обосновании и раскрытии понятия риска как гражданско-правового явления, соотношения терминов «риск» и «ответственность» в гражданско-правовой сфере, а также в обосновании гипотезы о необходимости разделения договорных риски на основе универсального «правового критерия», стоящего выше специфики различных договорных обязательств.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22481/1/ShteynikovaAK_2022.pdf
English-based business game as an alternative format of teaching and learning|Турк М.; Логунова Е. В.|Цель данной работы – рассмотреть проектирование проектной деятельности в формате игры как альтернативный и более эффективный способ проведения проектной деятельности, мотивировать студентов к участию и повысить качество проектной работы, а также улучшить навыки владения английским языком в Югорском государственном университете.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/8338/1/LogunovaEV_2022.pdf
Врачебная ошибка и защита прав пациентов (на материалах судебной практики)|Курсова О. А.; Классина А. В.|Целью исследования является комплексное рассмотрение правовых проблем врачебной ошибки и защиты прав пациентов.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22489/1/KlassinaAV_2022.pdf
Разграничение трудовых и гражданско-правовых отношений (на материалах судебной практики)|Чикирева И. П.; Илюхина Е. В.|Цель исследования: комплексное изучение правового регулирования явлений, позволяющих разграничивать трудовые и гражданско-правовые отношения на современном этапе.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19205/1/IlyukhinaEV_2022.pdf
Теория и практика расследования изнасилований|Белоусов А. В.; Телицина Ю. А.|Целью исследования является анализ причин совершения преступлений против половой неприкосновенности личностей различного возраста и половой принадлежности, принимаемые меры профилактики преступлений, разработка теоретических и практических методов расследования изнасилований.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22429/1/TelitsinaYuA_2022.pdf
Организация неформального образования граждан пожилого возраста в учреждении социального обслуживания населения|Патрушева И. В.; Горчакова А. Е.|Цель исследования – теоретическое обоснование, выявление и апробация условий организации неформального образования граждан пожилого возраста в учреждении социального обслуживания населения.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/6581/1/GorchakovaAE_2022.pdf
Влияние низких температур на кардиореспираторную систему спортсменов-моржей во время длительных заплывов|Турбасова Н. В.; Есаулкова К. А.|В выпускной квалификационной работе изучено влияние низких температур на респираторную систему спортсменов-моржей во время длительных заплывов.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22441/1/EsaulkovaKA_2022.pdf
Преступность несовершеннолетних: криминологическая характеристика и меры профилактики|Попова-Логачева Ю. П.; Косолапова И. Ю.|Цель работы – изучение преступности несовершеннолетних в криминологическом аспекте.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22417/1/KosolapovaIYu_2022.pdf
Проблемы административно-правового регулирования предоставления государственных и муниципальных услуг в сфере культуры|Бакулина И. П.; Охотович Т. С.|Исследование общественных отношений, складывающихся в процессе оказания государственных и муниципальных услуг в области культуры в России.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22546/1/OkhotovichTS_2022.pdf
Уголовно-правовая характеристика заведомо ложного доноса|Пережогина Г. В.; Быкова Т. А.|Целью данного диссертационного исследования является выявление проблем правоприменения ст. 306 УК РФ, нахождение способов их решения, а также выработка рекомендаций по квалификации преступлений, совершенствование уголовного и уголовно-процессуального законодательства, в том числе совершенствование способов, способных оказать достойное воздействие на осуществление гражданами фактов заведомо ложного доноса.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19220/1/BykovaTA_2022.pdf
Особенности правового регулирования труда дистанционных работников: проблемы теории и практики|Зайцева Л. В.; Борисова А. Д.|Целью исследования является изучение особенностей правового регулирования труда дистанционных работников.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22482/1/BorisovaAD_2022.pdf
Институт банкротства физических лиц в социологическом измерении|Ромашкина Г. Ф.; Портняга Е. М.|Исследование института банкротства физических лиц, выявление социальных отношений процесса возникновения и развития, а также выявление наиболее значимых причин банкротства физических лиц в современной России.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19128/1/PortnyagaEM_2022.pdf
Правовое регулирование качества жизни населения в России и ведущих стран мира: сравнительный анализ|Винниченко О. Ю.; Кудрявцев Е. Е.|Цель исследования – на основе анализа материалов юридической практики, большого блока нормативно правовых актов, выявление основных проблем, связанных с государственно-правовым регулированием качества жизни населения и формулирование предложений по совершенствованию государственно-правового регулирования для решения проблем в системе образования как важнейший аспект.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19120/1/KudryavtsevEE_2022.pdf
Гражданско-правовая ответственность за врачебную ошибку|Алексеева Е. В.; Тихомирова Ю. В.|Целью данной работы является исследование правового регулирования механизма гражданско-правовой ответственности за врачебную ошибку.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22476/1/TikhomirovaYuV_2022.pdf
Поликультурные механизмы англоязычной коммуникации в социальных сетях|Ульянова О. Б.; Филимонова Е. А.|Цель выпускной квалификационной работы – изучение поликультурных механизмов англоязычной коммуникации в социальных сетях через исследование вербально-семантического, лингвокогнитивного и дискурсивного уровней языковой личности в сети.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19167/1/FilimonovaEA_2022.pdf
Особенности рассмотрения дел с участием присяжных заседателей|Хабарова Е. А.; Чистякова Г. В.|Цель исследования – рассмотреть особенности и проблемы рассмотрения уголовных дел с участием присяжных для того, чтобы предложить пути совершенствования данного института.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22432/1/ChistyakovaGV_2022.pdf
Международный оборот интеллектуальной собственности|Астахова М. А.; Зорина А. Е.|Целью научной работы являются: исследование международного оборота отдельных объектов интеллектуальной собственности, его теоретических и нормативных основ, определение его понятия, механизма, элементов и особенностей, анализ теоретических и практических проблем, формулирование предложений по конкретизации определенных теоретических категорий и действующего российского законодательства.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19121/1/ZorinaAE_2022.pdf
Формирование элементарных математических представлений у дошкольников с помощью дидактических игр|Белякова Е. Г.; Аббасова С. З.|Целью исследования является обоснование, разработка и пробирование комплекса дидактических игр для дошкольников, которые будут способствовать формированию ЭМП.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/6589/1/AbbasovaSZ_2022.pdf
Формирование познавательных универсальных учебных действий в обучении учащихся 5-6 классов элементам геометрии|Зубова Е. А.; Новопольцева Е. А.|Исследование процесса формирования универсальных учебных действий у учащихся общеобразовательной школы.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/6564/1/NovopoltsevaEA_2022.pdf
Корпоративное управление: правовое обеспечение в хозяйственных обществах|Чукреев А. А.; Роженцева П. В.|Цель настоящей работы: анализ действующих положений нормативно-правового регулирования корпоративного управления в хозяйственных обществах Российской Федерации.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19193/1/RozhentsevaPV_2022.pdf
Федеральные округа и федеральные территории как элементы российского государственно-территориального устройства|Авдеев Д. А.; Вишневская А. Е.|Целью данного исследования является проведение комплексного анализа и изучение правового статуса федеральных округов и федеральных территорий, выявление специфических характеристик данных управленческих конструкций и перспективы их дальнейшего развития.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22523/1/VishnevskayaAE_2022.pdf
Демократия как гарантия обеспечения политических прав граждан: пути совершенствования и перспективы развития|Григорьев А. С.; Андреев П. В.|Целью исследования является анализ законодательства и обстановки в РФ и мировой практике на предмет наличия у граждан формальных и фактических политических прав при демократическом политическом режиме, а также сравнительная характеристика в предыдущими этапами исторического развития данного явления и поиск путей совершенствования и развития этой тематики.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19124/1/AndreevPV_2022.pdf
Правовое регулирование рекламного бизнеса|Отческий И. Е.; Соболев А. А.|Целью работы является проведение исследования теоретических положений регулирования рекламного бизнеса.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22473/1/SobolevAA_2022.pdf
Кросскультурные аспекты русских и латиноамериканских идиом с актантным компонентом|Белозёрова Н. Н.; Родригес Эрнандес Л. Г.|Цель данной выпускной квалификационной работы – выявить сходства и различия на грамматическом, семантическом и культурном уровне идиом с активным компонентом из Латинской Америки и России.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19164/1/RodrigesE_2022.pdf
Экстремизм в молодежной среде: предпосылки, социальные последствия и меры предупреждения|Лосев С. Г.; Наумчик А. С.|Целью исследования является комплексное исследование экстремизма как социальной проблемы современного государства, определение основных детерминант такого социального явления, как экстремизм среди молодежи и внесение предложений, по борьбе с ним, позволяющих увеличить эффективность существующих мер.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22424/1/NaumchikAS_2022.pdf
Полномочия прокурора на стадии предварительного расследования|Сидорова Н. В.; Ковбуз А. А.|Цель исследования – изучить особенности правового регулирования и законодательные проблемы полномочий прокурора на стадии предварительного расследования по уголовным делам.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22415/1/KovbuzAA_2022.pdf
Муниципальный заказ в системе общего образования (на примере Тюменского муниципального района)|Заболотная Г. М.; Сергеева А. И.|Исследование на примере Тюменского муниципального района муниципального заказа в системе управления общим образованием.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22403/1/SergeevaAI_2022.pdf
Расследование хищений, совершаемых с использованием информационных технологий|Вассалатий Ж. В.; Рябцев К. А.|Цель диссертационного исследования – разработка комплекса тактико криминалистических рекомендаций, направленных на повышение эффективности расследования хищений, совершаемых с помощью информационных технологий.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19215/1/RyabtsevKA_2022.pdf
Нестоличные города Российской империи: типология, историческая динамика, социальные функции|Кулешов В. С.; Бигвава Д. Д.|Целью работы является комплексное изучение социальных, административных преобразований и реформ направленных на совершенствование городской сети Российской империи в период правления Петра I, Екатерины II и Александра II.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22500/1/BigvavaDD_2022.pdf
Методика определения области неопределённости относительных фазовых проницаемостей для оценки технологических параметров водогазового воздействия|Шевелев А. П.; Михайлин И. Л.|Целью данной работы является сравнение эффективности вытеснения нефти водой и газом при различных способах нагнетания и с вытеснением только водой в пластах с различным уровнем неоднородности по проницаемости.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19147/1/MikhaylinIL_2022.pdf
Стратегия позиционирования национального бренда Венесуэла на международном туристическом рынке|Лиман И. А.; Кортес Т. Э. Л.|Цель настоящего исследования: разработать механизм позиционирования бренда Венесуэлы на международном рынке туристических услуг, используя как действующие инструменты его формирования, так и специфические, характерные именно для Венесуэлы.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19108/1/KortesTEL_2022.pdf
Правовой статус арбитражного управляющего|Горовенко В. В.; Парёнкин А. А.|Целью данной работы является определение и изучение правового статуса арбитражного управляющего и установления оптимального круга прав предоставляемых данному субъекту профессиональной деятельности.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22471/1/ParenkinAA_2022.pdf
Цифровая трансформация промышленности|Захаров К. А.; Дусмуратов Х. А.|Целью исследования является рассмотрение влияния цифровизации в промышленность и анализ тенденций цифрового развития.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19169/1/DismuratovHA_2022.pdf
Оценка эффективности деятельности органов исполнительной власти субъектов Российской Федерации (на примере управления Россельхознадзора по Тюменской области, ЯНАО и ХМАО)|Авдеев Д. А.; Моисеева И. В.|Цель исследования – особенности и проблемы оценки эффективности деятельности органов исполнительной власти субъектов РФ, взяв в качестве примера Управление Россельхознадзора по Тюменской области, ЯНАО и ХМАО.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22542/1/MoiseevaIV_2022.pdf
Защита чести, достоинства и деловой репутации работника: проблемы теории и практики|Курсова О. А.; Сидорова Е. В.|Исследование понятий чести, достоинства и деловой репутации работника, как правовых категорий.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22496/1/SidorovaEV_2022.pdf
Управление позиционированием государственных вузов на национальном рынке образовательных услуг|Черноморченко С. И.; Урих Н. А.|Целью работы является теоретическое обоснование и разработка комплекса рекомендаций по управлению позиционированием Тюменского государственного университета на национальном рынке образовательных услуг.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19097/1/UrikhNA_2022.pdf
Основные формы взаимодействия депутатов законодательных органов субъектов Российской Федерации с избирателями: конституционно-правовое исследование (на примере Тюменской области)|Мишунина А. А.; Арсаева Д. Ж.|Цель диссертации – изучение конституционно-правовой природы, содержания и пределов нормативного правового регулирования форм взаимодействия депутатов законодательных органов субъектов РФ с избирателями.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22516/1/ArsaevaDZh_2022.pdf
Проблемы правового регулирования следственных действий в российском уголовном процессе|Хабарова Е. А.; Сухоруков Р. Е.|Целью работы является выявление проблем в сфере нормативно-правового регулирования следственных действий в российском уголовном процессе.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19212/1/SukhorukovRE_2022.pdf
Судебное представительство в гражданском процессе|Сухова Н. В.; Лещинский О. В.|Цель исследования заключается в комплексном анализе природы института судебного представительства в российском гражданском процессе, его основных особенностей, тенденций и проблем развития; разработке предложений по совершенствование его правового регулирования и механизмов правоприменения.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22465/1/LeshhinskiyOV_2022.pdf
Правовое регулирование отношений, связанных с устройством и воспитанием детей, оставшихся без попечения родителей|Краснова Т. В.; Зарипова А. Р.|Цель работы – исследовать проблемы правового регулирования отношений, связанных с устройством и воспитанием детей, оставшихся без попечения родителей, и предложить пути решения выявленных проблем.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22487/1/ZaripovaAR_2022.pdf
Личные права ребенка в семье|Митрякова Е. С.; Лиханов А. А.|Целью данной магистерской диссертации является анализ правового регулирования условий и порядка усыновления детей, оставшихся без попечения родителей, выявление проблем и коллизий в порядке усыновления, а также перспективы их решения.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22491/1/LikhanovAA_2022.pdf
Система органов государственной власти Тюменской области как субъекта Российской Федерации: конституционно-правовое исследование|Мишустина А. А.; Черепанова Д. М.|Целью магистерской диссертации является комплексное конституционно-правовое исследование опыта правового регулирования организации работы органов государственной власти и реализации полномочий в Тюменской области, как сложноустроенном субъекте Российской Федерации, выявление перспектив совершенствования правового регулирования деятельности органов государственной власти Тюменской области и выработка предложений (рекомендаций) в исследуемой сфере.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19116/1/CherepanovaDM_2022.pdf
"Извлечение терминологии области ""стоматология"" на базе онлайнового корпуса"|Ковязина М. А.; Баракат М. Б.|Цель исследования – извлечь и проанализировать англоязычную терминологию области «стоматология» на базе онлайнового корпуса.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19151/1/BarakatMHD_2022.pdf
Влияние факельного сжигания попутного нефтяного газа на природную среду (на примере Нижневартовского района Ханты-Мансийского автономного округа – Югры)|Соромотин А. В.; Заиченко А. Н.|Цель работы – дать геоэкологическую оценку степени воздействия выбросов факельного сжигания попутного нефтяного газа на природные экосистемы (на примере Нижневартовского района ХМАО – Югра).|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22368/1/ZaichenkoAN_2022.pdf
Уголовная ответственность за побои и истязания|Гарманов В. М.; Чеснокова А. А.|Целью исследования является изучение вопросов уголовно-правовой оценки побоев и истязания путем формирования научно-обоснованных предложений, направленных на повышение эффективности применения положений ст. ст. 116, 116-1, 117 УК РФ.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22431/1/ChesnokovaAA_2022.pdf
Проблемы привлечения к административной ответственности за злоупотребления свободой слова и массовой информации|Бакулина И. П.; Бухвалова Ю. В.|Целью магистерской диссертации является разработка предложений по совершенствованию практики реализации конституционно-правовых гарантий свободы слова и свободы массовой информации.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22521/1/BukhvalovaYuV_2022.pdf
Правовое регулирование социально-трудовых отношений в странах БРИКС|Анбрехт Т. А.; Котович К. А.|Основной целью диссертации является исследование проблем правового регулирования социально-трудовых отношений в странах БРИКС с помощью различных правовых средств, содержащихся в разных источниках правового регулирования.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19203/1/KotovichKA_2022.pdf
Применение упреждающей стратегии управления при реализации кадровой политики педагогической службы загородного лагеря|Верховцев К. Н.; Гневашева Е. А.|Цель исследования: теоретическое обоснование и экспериментальная апробация условий применения упреждающей стратегии управления при реализации педагогической службы загородного лагеря.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/6576/1/GnevashevaEA_2022.pdf
Оценка эффективности использования бактериального препарата Путидойл для снижения загрязнения почв города Тюмени|Артеменко С. В.; Малышева А. В.|Целью исследования является определение влияния бактериального препарата Путидойл на почву автотранспортных предприятий г. Тюмени.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22380/1/MalyshevaAV_2022.pdf
Тактика допроса подозреваемого и обвиняемого по налоговым преступлениям|Белоусов А. В.; Русакова А. И.|Цель работы состоит в установлении особенностей тактики допроса подозреваемого и обвиняемого по налоговым преступлениям на основе комплексного исследования.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22426/1/RusakovaAI_2022.pdf
Правовой статус наблюдателей – участников избирательного процесса|Чеботарев Г. Н.; Исакова В. А.|Целью работы является выявление существующих пробелов в законодательстве, разработка юридического понятия конституционно-правового статуса наблюдателей в избирательном праве, а также раскрытие его содержания на уровне законодательства.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22531/1/IsakovaVA_2022.pdf
Залоговые правоотношения в гражданском праве|Комиссарова Е. Г.; Канкевичус В. В.|Цель исследования – это комплексный анализ залоговых правоотношений в гражданском праве и формулировка предложений по совершенствованию законодательства института залога и правоприменительной деятельности.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19187/1/KankevichusVV_2022.pdf
Субъективность и объективность в отзывах об отелях на русском и английском языках|Брунова Е. Г.; Попова Е. А.|Цель исследования заключается в выявлении и сопоставлении способов выражения субъективности и объективности в русских и английских текстах.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19163/1/PopovaEA_2022.pdf
Правовое регулирование рекламного бизнеса|Отческий И. Е.; Роженцев Н. С.|Целью работы является анализ правового регулирования рекламной деятельности в Российской Федерации и выработка конкретных предложений совершенствования законодательства в этой сфере.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19194/1/RozhentsevNS_2022.pdf
Численное решение задачи теплопроводности|Зубков П. Т.; Склюев К. С.; Ленц Е. А.|Цель работы: изучение выбранного научного материала для численного решения задач теплопроводности.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19176/1/Sklyuev_Lents_2022.pdf
Коммуникационная политика фирмы на аграрном рынке: формирование и развитие|Симонова Л. М.; Фадеев К. С.|Цель работы – изучить маркетинговые коммуникации в стратегии предприятия.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19096/1/FadeevKS_2022.pdf
Оспаривание сделок должников по законодательству о несостоятельности (банкротстве)|Байматов П. Н.; Галкина А. Ю.|Целью работы является изучение теоретических основ в процессе оспаривания сделок должника в процедуре банкротства, выявление особенностей и комплексное рассмотрение вопросов оспаривания сделок несостоятельного должника, определение эффективности действующего законодательства о банкротстве.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22460/1/GalkinaAYu_2022.pdf
Интеграция математики с предметами естественно-научного профиля как средство формирования учебно-познавательной компетенции учащихся 7-8 классов|Шармин Д. В.; Усольцева Т. И.|Исследование интеграции математики с предметами естественно-научного профиля в основной школе.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/6565/1/UsoltsevaTI_2022.pdf
Правовое регулирование сотрудничества стран ШОС в борьбе против терроризма|Марочкин С. Ю.; Курта А. О.|Правовое регулирование сотрудничества стран ШОС в борьбе против терроризма|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19119/1/KurtaAO_2022.pdf
Особенности применения диджитал-маркетинговых коммуникаций на рынке логопедических услуг|Радион М. А.; Важенина А. О.|Цель исследования – разработка рекомендаций по формированию комплексной диджитал-маркетинговой коммуникационной стратегии для предприятий рынка логопедических услуг.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19112/1/VazheninaAO_2022.pdf
Деятельность органов внутренних дел по обеспечению общественного порядка при проведении массовых мероприятий|Астахова М. А.; Семёнова Ю. С.|Цель исследования: установление специфики деятельности органов внутренних дел во время проведения массовых мероприятий.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22552/1/SemenovaYuS_2022.pdf
Проблемы и перспективы применения блокчейн технологий в маркетинге в Российской Федерации|Радион М. А.; Семенихин А. А.|Целью данной работы является разработка алгоритма и рекомендаций по применению блокчейн технологий в маркетинге предприятия.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19102/1/SemenikhinAA_2022.pdf
Правовое регулирование венчурного инвестирования в Российской Федерации|Чукреев А. А.; Алхаматов А. Х.|Цель исследования заключается в проведении анализа правоотношений, возникающих при осуществлении венчурного инвестирования в Российской Федерации, а также поиске правовых проблем в данной сфере и способов их решений.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22454/1/AlkhamatovAKh_2022.pdf
